transaction_id,user_id,transaction_date,transaction_amount,payment_type,transaction_type,currency
Q4-TX-000770,932,2025-11-03,374.23,credit card, Add-on ,US Dollar
Q4-TX-000771,116,10-11-2025,USD -246.67,PayPal ,Refund,usd
Q4-TX-000772,1197,"Oct 08, 2025",USD -117.35,Bank Transfer , Refund ,USD
Q4-TX-000773,16,10/25/2025,$250.38,CREDIT CARD,Add-on,usd
Q4-TX-000774,1272,2025-11-03,167.54 USD,Credit Card , Add-on ,usd
Q4-TX-000775,1417,"Nov 22, 2025",336.82 USD,PAYPAL,Upgrade ,USD
Q4-TX-000776,1181,2025-12-02,378.33 USD, Bank Transfer,add-on,usd
Q4-TX-000777,1186,16-12-2025,179.61 USD,Debit Card, Add-on ,usd
Q4-TX-000778,10,10/07/2025,350.35,debit card,subscription,USD
Q4-TX-000779,604,26/11/2025,USD -43.56, Bank Transfer , Refund,usd
Q4-TX-000780,603,20 Nov 2025,337.75 USD, Credit Card,upgrade,US Dollar
Q4-TX-000781,1064,25 Nov 2025,USD 364.83,Credit Card , Upgrade,usd
Q4-TX-000782,1188,11-12-2025,-312.77 USD,Credit Card , Refund ,USD
Q4-TX-000783,18,08-11-2025,-685.25,credit card,REFUND,usd
Q4-TX-000784,677,11/02/2025,USD -144.62,bank transfer,Refund,usd
Q4-TX-000785,1173,2025-10-02,196.80 USD,Credit Card ,add-on,usd
Q4-TX-000786,207,12/12/2025,USD 107.02, PayPal , Add-on ,US Dollar
Q4-TX-000787,765,2025-11-29,USD 61.09,Bank Transfer, Add-on,usd
Q4-TX-000788,1330,30 Nov 2025,$115.09,paypal,Upgrade ,USD
Q4-TX-000789,137,28/12/2025,USD 122.90,Bank Transfer ,Subscription,USD
Q4-TX-000790,1330,2025-11-28,$204, Debit Card ,Subscription,USD
Q4-TX-000791,254,"Dec 06, 2025",268.16 USD,Debit Card ,Upgrade,USD
Q4-TX-000792,1225,"Oct 24, 2025",$42, PayPal ,add-on,usd
Q4-TX-000793,313,24-11-2025,511.29 USD, Debit Card ,Upgrade ,US Dollar
Q4-TX-000794,1172,"Oct 16, 2025",$200, Bank Transfer, Add-on,USD
Q4-TX-000795,1368,10/05/2025,$90, PayPal ,upgrade,usd
Q4-TX-000796,161,"Nov 05, 2025",-302.22,Credit Card,Refund ,US Dollar
Q4-TX-000797,503,2025-12-13,-375.48 USD,CREDIT CARD,Refund ,US Dollar
Q4-TX-000798,884,10/27/2025,200.64,Debit Card ,add-on,USD
Q4-TX-000799,1285,03 Oct 2025,USD 54.93, Debit Card , Add-on,usd
Q4-TX-000800,245,12/02/2025,$67.49, Bank Transfer ,Add-on ,usd
Q4-TX-000801,304,15/11/2025,USD 594.90, PayPal,Add-on,usd
Q4-TX-000802,1474,11/17/2025,$162.57,Debit Card ,subscription,usd
Q4-TX-000803,900005,08/12/2025,USD 443.64, Debit Card ,upgrade,USD
Q4-TX-000804,665,"Oct 29, 2025",199.81, Debit Card,Add-on ,US Dollar
Q4-TX-000805,1185,12/31/2025,16.68 USD,paypal,upgrade,US Dollar
Q4-TX-000806,169,27 Nov 2025,$-333.00,debit card, Refund ,USD
Q4-TX-000807,1226,12/11/2025,-421.38, Credit Card, Refund,US Dollar
Q4-TX-000808,40,25-10-2025,385.55,PayPal , Upgrade,US Dollar
Q4-TX-000809,665,"Nov 30, 2025",-250.69,bank transfer,REFUND,USD
Q4-TX-000810,1159,10/08/2025,226.98, Credit Card ,SUBSCRIPTION,USD
Q4-TX-000811,1321,"Dec 12, 2025",$499.84,Bank Transfer ,Subscription,US Dollar
Q4-TX-000812,1047,2025-11-22,-278.13,PAYPAL, Refund,USD
Q4-TX-000813,1202,"Dec 15, 2025",USD 299.63,CREDIT CARD,upgrade,usd
Q4-TX-000814,547,11/22/2025,169.30,Credit Card,SUBSCRIPTION,usd
Q4-TX-000815,290,"Nov 17, 2025",$-70.03,PAYPAL,Refund,US Dollar
Q4-TX-000816,99,2025-10-23,-91.26 USD,PAYPAL, Refund,USD
Q4-TX-000817,1135,2025-11-30,-291.81,PAYPAL, Refund,usd
Q4-TX-000818,900013,12/13/2025,$320.02,DEBIT CARD,Add-on,USD
Q4-TX-000819,414,21-10-2025,620.98,PayPal ,SUBSCRIPTION,US Dollar
Q4-TX-000820,61,12 Nov 2025,158.24,CREDIT CARD, Subscription,US Dollar
Q4-TX-000821,950,2025-12-14,-438.99 USD, Credit Card,Refund,USD
Q4-TX-000822,859,2025-10-08,USD 87.73, Credit Card ,Add-on ,USD
Q4-TX-000823,1389,27/11/2025,215.10,CREDIT CARD,Subscription,USD
Q4-TX-000824,771,12/26/2025,-165.70,debit card, Refund ,usd
Q4-TX-000825,256,22 Oct 2025,USD -281.67,Debit Card ,Refund ,US Dollar
Q4-TX-000826,1171,17 Oct 2025,59.18 USD, Credit Card,Upgrade ,US Dollar
Q4-TX-000827,259,2025-12-23,$160.89,Bank Transfer ,UPGRADE,usd
Q4-TX-000828,626,2025-12-24,184.11 USD,Bank Transfer, Upgrade,usd
Q4-TX-000829,210,25 Dec 2025,USD 175.67, Bank Transfer, Add-on ,usd
Q4-TX-000830,994,25-11-2025,$216.35,credit card,Subscription ,US Dollar
Q4-TX-000831,926,01/10/2025,$-798, PayPal, Refund,USD
Q4-TX-000832,96,03-10-2025,37.66, Debit Card,Add-on ,USD
Q4-TX-000833,362,"Nov 30, 2025",USD 436.30,PAYPAL,upgrade,US Dollar
Q4-TX-000834,1206,21 Oct 2025,$101.88,Credit Card, Add-on,US Dollar
Q4-TX-000835,1051,"Nov 29, 2025",318.92 USD, Bank Transfer , Add-on ,USD
Q4-TX-000836,381,03-10-2025,25.26,PayPal,UPGRADE,usd
Q4-TX-000837,378,04 Oct 2025,$142, PayPal,Add-on,usd
Q4-TX-000838,750,"Nov 24, 2025",$-302.85, PayPal ,refund,US Dollar
Q4-TX-000839,1034,28/12/2025,-286.91 USD, PayPal ,REFUND,US Dollar
Q4-TX-000840,103,"Dec 01, 2025",-179.80, Bank Transfer,refund,US Dollar
Q4-TX-000841,418,25-12-2025,251.11,Debit Card ,Upgrade ,US Dollar
Q4-TX-000842,4,2025-10-15,USD -233.70, Credit Card , Refund ,USD
Q4-TX-000843,575,2025-11-20,$528,PayPal ,add-on,USD
Q4-TX-000844,782,10/06/2025,$-175.16,bank transfer, Refund,US Dollar
Q4-TX-000845,1153,"Dec 19, 2025",-90.77,PayPal, Refund ,USD
Q4-TX-000846,992,"Oct 30, 2025",$345, Debit Card , Add-on ,usd
Q4-TX-000847,1193,03-12-2025,$397,CREDIT CARD,add-on,usd
Q4-TX-000848,526,2025-12-09,$99.70, Bank Transfer,Subscription ,US Dollar
Q4-TX-000849,1224,"Nov 09, 2025",430.60,Bank Transfer, Add-on,usd
Q4-TX-000850,1420,11/23/2025,-287.63,Bank Transfer,REFUND,US Dollar
Q4-TX-000851,644,2025-10-03,$283.37,paypal,Add-on ,USD
Q4-TX-000852,1266,2025-12-16,-372.08,BANK TRANSFER, Refund,US Dollar
Q4-TX-000853,798,12-12-2025,167.25,CREDIT CARD,Subscription,usd
Q4-TX-000854,1342,31 Oct 2025,125.10 USD, PayPal ,ADD-ON,US Dollar
Q4-TX-000855,458,2025-12-29,$116, PayPal,ADD-ON,USD
Q4-TX-000856,1258,15/10/2025,$279,PAYPAL,ADD-ON,USD
Q4-TX-000857,896,09/12/2025,509.00, Credit Card,Upgrade,US Dollar
Q4-TX-000858,429,01/11/2025,-293.58, Credit Card ,refund,usd
Q4-TX-000859,1264,25-12-2025,$276.33, Debit Card ,subscription,US Dollar
Q4-TX-000860,1053,10/10/2025,, Credit Card,upgrade,US Dollar
Q4-TX-000861,1459,30-11-2025,$-240.95,debit card,Refund,usd
Q4-TX-000862,62,2025-11-10,$403,bank transfer, Subscription ,US Dollar
Q4-TX-000863,229,27-12-2025,427.90,Bank Transfer ,Subscription ,USD
Q4-TX-000864,950,05/12/2025,242.26,PAYPAL,upgrade,USD
Q4-TX-000865,916,30/12/2025,$154,credit card,Add-on,usd
Q4-TX-000866,666,06/12/2025,$142,PayPal,upgrade,USD
Q4-TX-000867,1082,2025-10-28,367.45,credit card,add-on,USD
Q4-TX-000868,1163,10/14/2025,462.24 USD,Credit Card ,Add-on,usd
Q4-TX-000869,1160,19-12-2025,$190,PAYPAL, Add-on,US Dollar
Q4-TX-000870,360,"Dec 16, 2025",111.92 USD,PAYPAL,Subscription ,US Dollar
Q4-TX-000871,900011,15/11/2025,$254.53,PAYPAL, Upgrade,usd
Q4-TX-000872,947,27/11/2025,$252.50,Debit Card,SUBSCRIPTION,usd
Q4-TX-000873,518,2025-12-16,319.20,Credit Card, Add-on ,US Dollar
Q4-TX-000874,546,15/12/2025,279.03, Debit Card , Add-on ,USD
Q4-TX-000875,414,20-10-2025,$243,Bank Transfer ,UPGRADE,US Dollar
Q4-TX-000876,966,2025-12-05,143.76 USD, PayPal ,Subscription,USD
Q4-TX-000877,562,2025-11-19,USD 478.09, Debit Card ,Subscription ,USD
Q4-TX-000878,1338,22 Nov 2025,$75.33,credit card, Add-on ,usd
Q4-TX-000879,815,18-11-2025,216.92 USD, Debit Card ,subscription,USD
Q4-TX-000880,784,"Nov 20, 2025",132.54,DEBIT CARD,Subscription ,usd
Q4-TX-000881,296,"Nov 04, 2025",461.25, Bank Transfer,Upgrade ,USD
Q4-TX-000882,877,08/10/2025,, Credit Card ,add-on,US Dollar
Q4-TX-000883,1194,22 Nov 2025,$-24,DEBIT CARD,refund,USD
Q4-TX-000884,373,11/23/2025,-225.24,PAYPAL,Refund,US Dollar
Q4-TX-000885,487,11/06/2025,USD -199.48,DEBIT CARD, Refund,usd
Q4-TX-000886,972,10/31/2025,$389.28, Credit Card , Add-on,usd
Q4-TX-000887,1189,24-10-2025,232.27,bank transfer,UPGRADE,USD
Q4-TX-000888,102,05 Oct 2025,-286.52,credit card,refund,US Dollar
Q4-TX-000889,192,20/10/2025,740.84 USD,PayPal ,Subscription ,USD
Q4-TX-000890,592,11-11-2025,536.02,paypal,Subscription,usd
Q4-TX-000891,427,2025-12-26,$211, Debit Card, Upgrade,US Dollar
Q4-TX-000892,1423,01 Dec 2025,348.78 USD,PAYPAL, Upgrade,usd
Q4-TX-000893,1204,"Dec 15, 2025",132.85 USD, Bank Transfer ,Upgrade ,usd
Q4-TX-000894,1028,15-10-2025,252.40 USD,Credit Card,subscription,USD
Q4-TX-000895,213,12/15/2025,234.28,Debit Card, Add-on ,USD
Q4-TX-000896,39,2025-12-06,$93.99, Credit Card ,add-on,USD
Q4-TX-000897,900014,21-10-2025,-206.94, Credit Card,Refund,USD
Q4-TX-000898,637,14/10/2025,207.62, Bank Transfer, Upgrade ,usd
Q4-TX-000899,1069,"Dec 12, 2025",$218,credit card,subscription,usd
Q4-TX-000900,1308,11/06/2025,182.53,debit card,Subscription,US Dollar
Q4-TX-000901,1324,13-11-2025,USD -168.74,credit card,Refund,USD
Q4-TX-000902,486,12/11/2025,467.18,PAYPAL,SUBSCRIPTION,US Dollar
Q4-TX-000903,351,12/25/2025,$-304.28,PayPal , Refund ,USD
Q4-TX-000904,900006,2025-10-07,USD 239.96, Debit Card, Add-on ,US Dollar
Q4-TX-000905,390,28/12/2025,USD 126.39, Credit Card , Upgrade ,US Dollar
Q4-TX-000906,270,"Dec 22, 2025",USD 419.18,Bank Transfer ,UPGRADE,USD
Q4-TX-000907,900004,25/10/2025,$-464,Bank Transfer ,REFUND,USD
Q4-TX-000908,229,17 Oct 2025,$43,PayPal ,Add-on,usd
Q4-TX-000909,1066,11/04/2025,37.03,Bank Transfer,Upgrade ,usd
Q4-TX-000910,203,"Nov 23, 2025",USD 166.07, Debit Card,subscription,USD
Q4-TX-000911,812,10/16/2025,188.57, Bank Transfer , Upgrade,USD
Q4-TX-000912,1252,"Oct 23, 2025",110.42 USD,Debit Card,Subscription ,USD
Q4-TX-000913,51,16 Dec 2025,$113,Credit Card, Add-on,USD
Q4-TX-000914,859,2025-10-14,20.72 USD,bank transfer,add-on,US Dollar
Q4-TX-000915,424,13/11/2025,497.94 USD,PAYPAL, Subscription ,US Dollar
Q4-TX-000916,700,04/10/2025,-196.23 USD,Credit Card, Refund ,US Dollar
Q4-TX-000917,1379,"Dec 05, 2025",$269.47,Credit Card,UPGRADE,US Dollar
Q4-TX-000918,885,24-11-2025,$-234,PayPal,Refund ,usd
Q4-TX-000919,667,19-12-2025,$125,debit card, Upgrade,USD
Q4-TX-000920,380,17/10/2025,USD -184.19,PayPal,Refund ,US Dollar
Q4-TX-000921,470,"Dec 20, 2025",$582.26,PayPal,ADD-ON,US Dollar
Q4-TX-000922,1033,30 Oct 2025,132.38 USD, Bank Transfer, Upgrade,USD
Q4-TX-000923,624,2025-12-15,-159.91 USD,DEBIT CARD,refund,US Dollar
Q4-TX-000924,963,2025-12-16,-305.17,Credit Card,refund,US Dollar
Q4-TX-000925,1199,10/10/2025,$41.04,Bank Transfer,SUBSCRIPTION,usd
Q4-TX-000926,492,21 Dec 2025,$203,credit card, Subscription ,US Dollar
Q4-TX-000927,179,10-11-2025,157.16,CREDIT CARD,Subscription ,USD
Q4-TX-000928,250,"Dec 15, 2025",USD -152.90,PAYPAL, Refund ,US Dollar
Q4-TX-000929,1136,12/13/2025,73.88,PAYPAL,subscription,usd
Q4-TX-000930,1495,01 Nov 2025,,CREDIT CARD, Refund,usd
Q4-TX-000931,220,2025-11-01,$-189,Credit Card , Refund ,USD
Q4-TX-000932,617,16-10-2025,96.18, PayPal ,SUBSCRIPTION,usd
Q4-TX-000933,348,07 Dec 2025,169.11,Credit Card , Add-on ,US Dollar
Q4-TX-000934,1343,28 Nov 2025,-179.70, PayPal ,REFUND,USD
Q4-TX-000935,565,18 Nov 2025,-85.97, Debit Card ,REFUND,US Dollar
Q4-TX-000936,1123,12/20/2025,$222,DEBIT CARD, Subscription ,USD
Q4-TX-000937,553,05-12-2025,-228.58,Credit Card, Refund ,usd
Q4-TX-000938,1358,10/21/2025,$-157, Debit Card ,Refund ,usd
Q4-TX-000939,173,2025-11-07,$242.43,BANK TRANSFER,Subscription ,US Dollar
Q4-TX-000940,1312,"Oct 17, 2025",416.65, Credit Card,upgrade,usd
Q4-TX-000941,277,09-12-2025,USD 126.89,Credit Card ,add-on,US Dollar
Q4-TX-000942,1307,12/01/2025,176.43,Debit Card,Subscription ,usd
Q4-TX-000943,69,"Nov 14, 2025",$296.79,CREDIT CARD,SUBSCRIPTION,usd
Q4-TX-000944,406,"Oct 18, 2025",USD 506.53, Credit Card , Add-on,US Dollar
Q4-TX-000945,668,"Nov 11, 2025",$-136.28, Bank Transfer, Refund,usd
Q4-TX-000946,1152,10/12/2025,$-202.54,Bank Transfer, Refund ,USD
Q4-TX-000947,1076,05-11-2025,45.44,Credit Card,UPGRADE,usd
Q4-TX-000948,223,20-11-2025,317.58 USD,bank transfer,Add-on ,USD
Q4-TX-000949,643,11/06/2025,333.77, Bank Transfer , Subscription,USD
Q4-TX-000950,1278,"Oct 24, 2025",$207.98, Credit Card ,subscription,USD
Q4-TX-000951,1328,10/31/2025,-68.94 USD, Debit Card ,REFUND,USD
Q4-TX-000952,19,21-10-2025,594.41,bank transfer,UPGRADE,USD
Q4-TX-000953,143,2025-10-09,$254,Debit Card ,subscription,usd
Q4-TX-000954,883,09 Dec 2025,USD -275.56,credit card,REFUND,usd
Q4-TX-000955,426,"Oct 27, 2025",-350.75, Debit Card,refund,US Dollar
Q4-TX-000956,835,17-11-2025,414.31, PayPal ,Subscription,US Dollar
Q4-TX-000957,505,11/30/2025,83.65,Bank Transfer,Subscription ,US Dollar
Q4-TX-000958,689,10/10/2025,USD -299.15,bank transfer,REFUND,US Dollar
Q4-TX-000959,614,18-11-2025,75.09 USD,paypal,Add-on ,USD
Q4-TX-000960,315,22 Oct 2025,-295.76 USD,PayPal ,REFUND,usd
Q4-TX-000961,310,10 Dec 2025,$291.47, PayPal,add-on,USD
Q4-TX-000962,964,12/26/2025,-232.87,PayPal ,Refund ,US Dollar
Q4-TX-000963,457,14/10/2025,$207,Bank Transfer ,subscription,USD
Q4-TX-000964,589,"Oct 19, 2025",71.63,PayPal,Add-on,US Dollar
Q4-TX-000965,864,2025-10-20,USD 492.17, Credit Card , Add-on ,US Dollar
Q4-TX-000966,957,07/10/2025,$897.89, Credit Card,Subscription ,US Dollar
Q4-TX-000967,1176,19-11-2025,-737.35 USD, PayPal, Refund,US Dollar
Q4-TX-000968,375,2025-11-10,$357,Credit Card ,add-on,usd
Q4-TX-000969,1317,"Oct 21, 2025",$216,Debit Card ,add-on,US Dollar
Q4-TX-000970,598,"Nov 20, 2025",367.84, Debit Card, Upgrade,usd
Q4-TX-000971,28,2025-10-10,344.12, PayPal, Upgrade,usd
Q4-TX-000972,765,10/12/2025,-157.96,BANK TRANSFER, Refund ,US Dollar
Q4-TX-000973,1142,2025-10-22,-92.63,PAYPAL,Refund ,usd
Q4-TX-000974,889,2025-12-06,134.16 USD, Bank Transfer , Upgrade,US Dollar
Q4-TX-000975,574,19-12-2025,USD -88.68, Debit Card ,refund,US Dollar
Q4-TX-000976,1343,04 Dec 2025,USD 149.58,Bank Transfer ,upgrade,US Dollar
Q4-TX-000977,843,06 Nov 2025,632.74,Credit Card, Add-on ,US Dollar
Q4-TX-000978,571,2025-11-16,-239.82,Bank Transfer,Refund ,usd
Q4-TX-000979,1144,2025-11-18,$-325.32, Credit Card , Refund ,USD
Q4-TX-000980,1085,2025-12-22,$606,PayPal,Upgrade,USD
Q4-TX-000981,507,07 Dec 2025,USD 184.14, Bank Transfer, Subscription ,US Dollar
Q4-TX-000982,312,"Oct 23, 2025",282.93,bank transfer,UPGRADE,US Dollar
Q4-TX-000983,86,10/28/2025,-379.79, Debit Card , Refund,US Dollar
Q4-TX-000984,1325,10 Nov 2025,USD 25.94,Debit Card ,Subscription ,USD
Q4-TX-000985,919,24 Oct 2025,245.35,Bank Transfer ,Upgrade ,USD
Q4-TX-000986,230,04-12-2025,$186.50, Credit Card,Upgrade,US Dollar
Q4-TX-000987,1310,2025-11-12,USD 197.45,Bank Transfer ,Add-on ,usd
Q4-TX-000988,386,06 Dec 2025,USD -118.23,BANK TRANSFER,refund,usd
Q4-TX-000989,677,2025-12-13,32.72,bank transfer,Add-on ,USD
Q4-TX-000990,1183,2025-12-10,$479,BANK TRANSFER,ADD-ON,usd
Q4-TX-000991,1024,21 Dec 2025,USD -139.52,Bank Transfer ,Refund,usd
Q4-TX-000992,1432,"Oct 11, 2025",217.68, Debit Card , Upgrade,US Dollar
Q4-TX-000993,1198,07 Nov 2025,$172,Credit Card,Add-on ,usd
Q4-TX-000994,824,2025-11-24,-267.24 USD,debit card,Refund,US Dollar
Q4-TX-000995,158,17-11-2025,-228.28,Credit Card , Refund ,US Dollar
Q4-TX-000996,437,06-10-2025,$608.20, Credit Card ,Subscription,US Dollar
Q4-TX-000997,616,"Nov 11, 2025",,PAYPAL,SUBSCRIPTION,US Dollar
Q4-TX-000998,1479,"Oct 21, 2025",127.57 USD,PayPal,add-on,usd
Q4-TX-000999,121,2025-11-07,-73.71 USD, Debit Card ,Refund,USD
Q4-TX-001000,659,12/23/2025,122.03, Credit Card ,SUBSCRIPTION,usd
Q4-TX-001001,782,20/10/2025,-332.09, PayPal,Refund ,USD
Q4-TX-001002,52,23/10/2025,$81,DEBIT CARD,Upgrade ,USD
Q4-TX-001003,257,03/11/2025,$588.64,Bank Transfer , Add-on,US Dollar
Q4-TX-001004,560,02 Oct 2025,USD 315.68, Debit Card,subscription,usd
Q4-TX-001005,38,2025-11-26,USD 268.68,Debit Card ,ADD-ON,USD
Q4-TX-001006,1201,2025-11-01,, Credit Card,Refund,USD
Q4-TX-001007,1316,"Dec 03, 2025",$525.70,DEBIT CARD, Add-on ,usd
Q4-TX-001008,539,02/12/2025,238.99 USD,Credit Card,subscription,USD
Q4-TX-001009,835,04 Oct 2025,$194.60,BANK TRANSFER,Upgrade ,usd
Q4-TX-001010,1227,21/10/2025,$225,PayPal ,Upgrade ,US Dollar
Q4-TX-001011,319,12/25/2025,135.93,Debit Card,Upgrade,USD
Q4-TX-001012,429,"Oct 21, 2025",$301.41, PayPal ,SUBSCRIPTION,US Dollar
Q4-TX-001013,699,12/29/2025,185.83,Bank Transfer,Subscription,USD
Q4-TX-001014,868,12/10/2025,158.52, Bank Transfer,ADD-ON,US Dollar
Q4-TX-001015,564,18-12-2025,$364.36,Bank Transfer ,Subscription,USD
Q4-TX-001016,101,10/28/2025,$159.33,Debit Card,Add-on,usd
Q4-TX-001017,568,2025-10-15,$-528.64,DEBIT CARD, Refund ,US Dollar
Q4-TX-001018,1294,"Nov 11, 2025",$269,debit card, Subscription ,usd
Q4-TX-001019,66,26/10/2025,$532, Bank Transfer,ADD-ON,USD
Q4-TX-001020,95,"Dec 07, 2025",175.55, Bank Transfer, Upgrade,US Dollar
Q4-TX-001021,1381,2025-11-26,258.04, Debit Card, Add-on,US Dollar
Q4-TX-001022,799,"Nov 25, 2025",86.06, Credit Card ,upgrade,USD
Q4-TX-001023,733,"Oct 20, 2025",USD 184.79,Credit Card,Add-on,USD
Q4-TX-001024,705,"Dec 29, 2025",239.28,CREDIT CARD,Upgrade,USD
Q4-TX-001025,469,10/15/2025,120.61 USD,bank transfer,Add-on ,usd
Q4-TX-001026,167,14-11-2025,$254.70, Credit Card ,Subscription,US Dollar
Q4-TX-001027,1452,22-11-2025,$215.74,Credit Card ,Subscription,US Dollar
Q4-TX-001028,937,03-11-2025,-93.15,CREDIT CARD,Refund ,usd
Q4-TX-001029,1457,28/12/2025,102.97 USD,credit card,add-on,US Dollar
Q4-TX-001030,260,18-10-2025,$509.01,Credit Card ,subscription,usd
Q4-TX-001031,520,10/22/2025,USD 106.81, Debit Card, Add-on ,usd
Q4-TX-001032,894,25-10-2025,$191,PayPal,add-on,USD
Q4-TX-001033,47,"Nov 11, 2025",838.85,Debit Card,Add-on,usd
Q4-TX-001034,20,29 Oct 2025,$92.09, Debit Card ,add-on,US Dollar
Q4-TX-001035,1226,12/05/2025,USD 251.81, Debit Card,Add-on ,US Dollar
Q4-TX-001036,911,"Oct 02, 2025",$-563.74,paypal, Refund,USD
Q4-TX-001037,1056,03-10-2025,USD 353.62,paypal,upgrade,US Dollar
Q4-TX-001038,28,11-10-2025,$358.87,Debit Card ,UPGRADE,usd
Q4-TX-001039,116,26 Nov 2025,$471.02,credit card,SUBSCRIPTION,US Dollar
Q4-TX-001040,1301,2025-12-10,$308.40,Bank Transfer ,upgrade,usd
Q4-TX-001041,147,13-10-2025,-180.33,credit card, Refund ,US Dollar
Q4-TX-001042,832,05/11/2025,USD -261.36,PAYPAL, Refund ,US Dollar
Q4-TX-001043,764,07-11-2025,258.91 USD,credit card,subscription,USD
Q4-TX-001044,286,10/23/2025,USD -198.27,bank transfer,Refund ,usd
Q4-TX-001045,1089,03-12-2025,40.99,debit card,subscription,USD
Q4-TX-001046,726,2025-12-10,$149.13,DEBIT CARD,subscription,USD
Q4-TX-001047,1214,12/22/2025,-429.10,DEBIT CARD, Refund ,USD
Q4-TX-001048,1188,"Oct 27, 2025",$113.78,Debit Card,upgrade,USD
Q4-TX-001049,85,2025-12-26,$427,DEBIT CARD,SUBSCRIPTION,usd
Q4-TX-001050,411,06-12-2025,$-132.10,BANK TRANSFER,REFUND,usd
Q4-TX-001051,1103,12/04/2025,288.58, PayPal ,Upgrade ,US Dollar
Q4-TX-001052,839,04/12/2025,-154.53, PayPal,Refund ,US Dollar
Q4-TX-001053,1078,2025-10-14,-153.40, PayPal ,refund,USD
Q4-TX-001054,1302,11-11-2025,USD 74.77,Credit Card ,subscription,usd
Q4-TX-001055,279,"Nov 11, 2025",USD 334.35,PayPal,Add-on,US Dollar
Q4-TX-001056,251,03-12-2025,$135,debit card, Upgrade,USD
Q4-TX-001057,373,2025-11-24,USD -107.31, PayPal ,Refund,USD
Q4-TX-001058,543,18/10/2025,138.66, Credit Card,Add-on ,US Dollar
Q4-TX-001059,711,"Dec 25, 2025",-181.57, Credit Card,refund,usd
Q4-TX-001060,1109,2025-12-22,127.05, Bank Transfer ,ADD-ON,US Dollar
Q4-TX-001061,519,11/01/2025,199.28,credit card,add-on,US Dollar
Q4-TX-001062,840,2025-12-22,381.54,PAYPAL,subscription,usd
Q4-TX-001063,1177,06/10/2025,209.68,debit card,Subscription,US Dollar
Q4-TX-001064,239,25-11-2025,USD -316.98, Credit Card, Refund ,USD
Q4-TX-001065,1406,12/22/2025,603.58,bank transfer,Subscription ,US Dollar
Q4-TX-001066,197,03 Nov 2025,110.90 USD, Debit Card, Add-on,usd
Q4-TX-001067,1180,24-11-2025,$404,CREDIT CARD,ADD-ON,usd
Q4-TX-001068,1488,07-11-2025,$-218.15, Credit Card, Refund ,US Dollar
Q4-TX-001069,1457,20 Nov 2025,-343.47,Bank Transfer,Refund ,US Dollar
Q4-TX-001070,174,12/09/2025,$189,PayPal , Subscription,US Dollar
Q4-TX-001071,882,06 Nov 2025,$271,BANK TRANSFER, Subscription ,USD
Q4-TX-001072,1090,07 Dec 2025,$-138.53,Debit Card, Refund ,usd
Q4-TX-001073,1105,2025-10-01,-146.71, PayPal ,Refund,USD
Q4-TX-001074,500,14 Oct 2025,$130, PayPal ,Upgrade ,USD
Q4-TX-001075,77,01-12-2025,$153,Credit Card ,UPGRADE,USD
Q4-TX-001076,407,2025-12-05,USD 122.76, PayPal, Subscription ,usd
Q4-TX-001077,637,10/11/2025,-156.33,credit card, Refund ,usd
Q4-TX-001078,463,11/08/2025,-708.52, Debit Card ,Refund,USD
Q4-TX-001079,1161,28/10/2025,$239.99,credit card,add-on,usd
Q4-TX-001080,1410,13 Nov 2025,$333,Debit Card ,Subscription,usd
Q4-TX-001081,1383,2025-12-25,$142, Bank Transfer ,Subscription ,usd
Q4-TX-001082,778,15/11/2025,$90,bank transfer, Upgrade,US Dollar
Q4-TX-001083,282,10/13/2025,231.83,bank transfer,Upgrade,usd
Q4-TX-001084,1345,15 Oct 2025,$198.34,paypal,upgrade,usd
Q4-TX-001085,565,2025-10-31,$-455, Bank Transfer ,refund,usd
Q4-TX-001086,178,27 Nov 2025,$151,Debit Card ,Upgrade ,USD
Q4-TX-001087,186,12/30/2025,$395,PayPal ,Add-on ,US Dollar
Q4-TX-001088,823,02-10-2025,347.96 USD, Bank Transfer,upgrade,US Dollar
Q4-TX-001089,1205,11/30/2025,$16.02,credit card,UPGRADE,USD
Q4-TX-001090,1388,03/11/2025,USD -61.79,bank transfer, Refund ,usd
Q4-TX-001091,584,26 Oct 2025,92.82 USD,PayPal,add-on,usd
Q4-TX-001092,522,30/10/2025,$-409.49, Debit Card, Refund,US Dollar
Q4-TX-001093,44,2025-12-29,99.08,DEBIT CARD,ADD-ON,usd
Q4-TX-001094,135,2025-11-08,312.21, Credit Card ,ADD-ON,US Dollar
Q4-TX-001095,1468,22/10/2025,172.99, Credit Card ,upgrade,USD
Q4-TX-001096,1040,2025-10-10,USD 156.78, Bank Transfer , Upgrade ,US Dollar
Q4-TX-001097,1188,12 Dec 2025,274.25 USD,Credit Card , Upgrade,US Dollar
Q4-TX-001098,351,30 Oct 2025,$131.14, Bank Transfer ,Add-on,US Dollar
Q4-TX-001099,1221,27 Nov 2025,$179.55, Debit Card ,Add-on ,US Dollar
Q4-TX-001100,1137,2025-12-15,161.51,Credit Card,Upgrade ,US Dollar
Q4-TX-001101,998,15/12/2025,USD 697.25,Credit Card , Add-on,USD
Q4-TX-001102,99,"Dec 11, 2025",36.95, Bank Transfer ,Upgrade,usd
Q4-TX-001103,836,12/25/2025,116.71,Bank Transfer ,add-on,usd
Q4-TX-001104,577,12/22/2025,USD 426.50,CREDIT CARD,Subscription ,US Dollar
