interaction_id,user_id,campaign_id,interaction_date,interaction_type,converted
INT-0004492,124,,10/12/2025,IMPRESSION, Yes
INT-0004493,715,CMP-0024,25/05/2025,email open,Yes 
INT-0004494,538,CMP-0006,2025-06-14, Impression , No 
INT-0004495,1215,CMP-0005,"Mar 25, 2025",IMPRESSION,No 
INT-0004496,470,CMP-0030,2025-10-07, Website Visit,NO
INT-0004497,979,CMP-0005,2025-11-26, Demo Request,NO
INT-0004498,1392,CMP-0023,02/12/2025, Impression , No
INT-0004499,782,CMP-0001,18 Dec 2025,CLICK,No
INT-0004500,132,CMP-0003,"Feb 06, 2025", Trial Signup , No 
INT-0004501,486,CMP-0010,"Feb 16, 2025", Trial Signup ,No
INT-0004502,1239,CMP-0021,2025-02-26,Click , No
INT-0004503,1211,CMP-0007,05/02/2025,WEBSITE VISIT,no
INT-0004504,493,CMP-0018,09 Sep 2025,Email Open ,no
INT-0004505,269,CMP-0016,"Dec 04, 2025", Impression, Yes
INT-0004506,688,CMP-0009,24-11-2025,Website Visit ,yes
INT-0004507,404,CMP-0001,28/09/2025,Website Visit , No
INT-0004508,1449,CMP-0006,2025-07-03,TRIAL SIGNUP, No
INT-0004509,1169,CMP-0021,20 Sep 2025,Website Visit,no
INT-0004510,1410,CMP-0024,"Sep 26, 2025",Email Open, No 
INT-0004511,447,CMP-0026,11/17/2025,click,No 
INT-0004512,893,CMP-0007,"Feb 24, 2025", Email Open ,Yes 
INT-0004513,284,CMP-0020,19-01-2025,Demo Request,No 
INT-0004514,575,CMP-0022,04 Apr 2025,IMPRESSION,yes
INT-0004515,728,CMP-0014,13/08/2025,EMAIL OPEN,No
INT-0004516,1065,CMP-0012,13/01/2025,Click,No 
INT-0004517,1024,CMP-0005,02/06/2025,Click ,Yes 
INT-0004518,982,CMP-0018,04-04-2025,IMPRESSION,No
INT-0004519,1179,CMP-0017,2025-07-15,impression, No 
INT-0004520,797,CMP-0020,22 Jul 2025, Trial Signup,No
INT-0004521,984,CMP-0010,"Nov 15, 2025",Impression ,no
INT-0004522,1090,CMP-0019,2025-06-18,IMPRESSION,no
INT-0004523,1325,CMP-0028,04 Mar 2025,Trial Signup,No 
INT-0004524,705,CMP-0013,01 May 2025, Website Visit,yes
INT-0004525,708,CMP-0005,17 Aug 2025,Trial Signup , No
INT-0004526,854,,10-01-2025,demo request,no
INT-0004527,412,CMP-0021,08 Apr 2025,demo request, Yes 
INT-0004528,917,CMP-0018,18/09/2025,Email Open , No 
INT-0004529,1127,CMP-0030,13-12-2025, Trial Signup,Yes
INT-0004530,1024,CMP-0021,"Mar 08, 2025", Click , No 
INT-0004531,928,CMP-0003,03 May 2025,Website Visit ,No 
INT-0004532,871,CMP-0014,2025-12-08, Click, Yes 
INT-0004533,995,CMP-0010,25/05/2025,Email Open ,no
INT-0004534,850,CMP-0026,08/06/2025, Click ,No
INT-0004535,628,CMP-0011,30 Oct 2025,Trial Signup ,YES
INT-0004536,782,CMP-0008,05/19/2025,IMPRESSION,No
INT-0004537,931,CMP-0022,22 Oct 2025, Impression,YES
INT-0004538,191,CMP-0014,11/15/2025, Email Open,no
INT-0004539,429,CMP-0021,"Oct 13, 2025",Demo Request , Yes 
INT-0004540,1491,CMP-0013,10/05/2025,Impression, No
INT-0004541,57,CMP-0019,25-09-2025, Trial Signup ,no
INT-0004542,1312,CMP-0017,11 Oct 2025, Impression,YES
INT-0004543,621,CMP-0011,"Feb 10, 2025", Website Visit ,No
INT-0004544,528,CMP-0030,27 Mar 2025,demo request,no
INT-0004545,1255,CMP-0013,30-04-2025, Demo Request ,No 
INT-0004546,958,CMP-0028,03/21/2025,CLICK,Yes
INT-0004547,931,CMP-0020,03 Dec 2025,EMAIL OPEN,No
INT-0004548,253,CMP-0029,07/07/2025,Demo Request , No
INT-0004549,303,CMP-0006,28/05/2025,Click ,No
INT-0004550,336,CMP-0021,28 Sep 2025,Impression ,Yes 
INT-0004551,577,CMP-0013,10 May 2025,CLICK,Yes 
INT-0004552,68,CMP-0004,17/03/2025,Website Visit , Yes 
INT-0004553,1287,CMP-0020,09/13/2025,Trial Signup ,No 
INT-0004554,255,CMP-0027,19-08-2025,email open,NO
INT-0004555,1178,CMP-0030,"Jan 19, 2025", Trial Signup , No
INT-0004556,635,CMP-0022,2025-10-21,Email Open,No 
INT-0004557,865,CMP-0015,06-04-2025,Click, Yes
INT-0004558,93,CMP-0006,07/13/2025,impression,no
INT-0004559,1162,CMP-0012,03-12-2025,demo request,Yes 
INT-0004560,751,CMP-0009,2025-03-11, Click ,YES
INT-0004561,447,CMP-0013,18-11-2025,Click ,NO
INT-0004562,553,CMP-0013,08 Sep 2025,Trial Signup, Yes
INT-0004563,953,CMP-0011,11/30/2025,Trial Signup ,NO
INT-0004564,1384,CMP-0023,"Sep 04, 2025",Website Visit ,Yes 
INT-0004565,598,CMP-0012,20/07/2025,CLICK,Yes 
INT-0004566,90,CMP-0017,08/08/2025,IMPRESSION,NO
INT-0004567,245,CMP-0007,29-03-2025,click,No 
INT-0004568,739,CMP-0030,"Aug 08, 2025",demo request, No 
INT-0004569,1220,CMP-0020,16-03-2025,trial signup, Yes 
INT-0004570,1158,CMP-0030,11/18/2025,Demo Request,No 
INT-0004571,1030,CMP-0029,05/04/2025, Impression ,No 
INT-0004572,983,CMP-0019,21/11/2025,Click , No
INT-0004573,1327,CMP-0001,27 Jul 2025,Email Open ,Yes
INT-0004574,935,CMP-0022,07/05/2025, Click,NO
INT-0004575,1052,CMP-0004,18/04/2025, Trial Signup , No 
INT-0004576,224,CMP-0006,11/14/2025, Demo Request ,yes
INT-0004577,13,CMP-0014,2025-12-19, Website Visit ,NO
INT-0004578,1134,CMP-0010,15 Feb 2025, Demo Request , Yes 
INT-0004579,415,CMP-0014,16 May 2025,Email Open,no
INT-0004580,700004,CMP-0005,12/14/2025,Trial Signup,yes
INT-0004581,1241,CMP-0005,"Jul 24, 2025", Impression,Yes
INT-0004582,157,CMP-0016,2025-11-02, Demo Request , No 
INT-0004583,1391,CMP-0021,"May 08, 2025", Website Visit , No 
INT-0004584,694,CMP-0001,2025-11-14,Impression,no
INT-0004585,1266,CMP-0026,09/01/2025,WEBSITE VISIT,NO
INT-0004586,859,CMP-0006,2025-04-15, Trial Signup ,Yes
INT-0004587,1032,CMP-0010,08/16/2025,Click,No
INT-0004588,80,CMP-0029,10/07/2025,website visit,NO
INT-0004589,584,CMP-0009,2025-07-12,Website Visit , No 
INT-0004590,330,CMP-0029,06/21/2025,WEBSITE VISIT,No 
INT-0004591,1114,CMP-0026,2025-09-13,email open,NO
INT-0004592,957,CMP-0004,04 Sep 2025, Trial Signup,No
INT-0004593,392,CMP-0011,2025-06-07,trial signup,NO
INT-0004594,529,CMP-0027,10 Dec 2025,DEMO REQUEST,NO
INT-0004595,1088,CMP-0008,02/22/2025, Demo Request ,No 
INT-0004596,189,CMP-0009,06/02/2025,Demo Request,No
INT-0004597,1442,CMP-0003,28/11/2025,Demo Request,NO
INT-0004598,3,CMP-0011,"May 27, 2025",Demo Request,no
INT-0004599,1253,CMP-0007,11/03/2025,demo request, No
INT-0004600,272,CMP-0008,28/04/2025,Demo Request, No 
INT-0004601,740,CMP-0012,22 Aug 2025, Impression ,NO
INT-0004602,792,CMP-0007,29 Jun 2025,Impression ,No 
INT-0004603,1318,CMP-0003,07/05/2025, Email Open , No 
INT-0004604,10,CMP-0002,12-05-2025,email open,YES
INT-0004605,758,CMP-0025,17/11/2025,TRIAL SIGNUP,YES
INT-0004606,1253,CMP-0022,03-05-2025, Impression ,yes
INT-0004607,491,CMP-0007,30-09-2025,Website Visit,no
INT-0004608,103,CMP-0012,28 Apr 2025, Email Open,No
INT-0004609,834,CMP-0016,15/09/2025,Email Open ,no
INT-0004610,414,CMP-0004,24 Mar 2025,WEBSITE VISIT, No
INT-0004611,1311,CMP-0011,09 Feb 2025, Website Visit,no
INT-0004612,1261,CMP-0011,2025-09-14,EMAIL OPEN,no
INT-0004613,1399,CMP-0015,03-04-2025,CLICK, Yes 
INT-0004614,64,CMP-0020,2025-01-24,CLICK,No
INT-0004615,395,CMP-0023,2025-02-02,Trial Signup ,Yes
INT-0004616,629,CMP-0017,15-12-2025,DEMO REQUEST,NO
INT-0004617,1190,CMP-0012,2025-12-28,trial signup,No 
INT-0004618,798,CMP-0011,2025-03-23,IMPRESSION, No
INT-0004619,299,CMP-0030,2025-09-04,DEMO REQUEST,No
INT-0004620,1251,CMP-0016,2025-09-25,impression, No 
INT-0004621,500,,"Mar 03, 2025", Email Open ,NO
INT-0004622,420,CMP-0007,23 Sep 2025,Click, No 
INT-0004623,1387,CMP-0010,17/12/2025,click,No 
INT-0004624,861,CMP-0020,31/03/2025,CLICK,No
INT-0004625,889,CMP-0011,10/01/2025,CLICK,yes
INT-0004626,1323,CMP-0010,09/12/2025,demo request,No
INT-0004627,1368,CMP-0018,03-05-2025,Impression , No
INT-0004628,144,CMP-0004,22 Aug 2025,Trial Signup ,No
INT-0004629,27,CMP-0020,"Sep 09, 2025",EMAIL OPEN,NO
INT-0004630,624,CMP-0010,25/02/2025,WEBSITE VISIT, No
INT-0004631,402,CMP-0001,12-04-2025,Click, No
INT-0004632,729,CMP-0002,2025-01-28, Website Visit , No 
INT-0004633,278,CMP-0025,06/02/2025, Impression,No
INT-0004634,357,CMP-0008,25 Jun 2025, Impression ,no
INT-0004635,550,CMP-0029,23-02-2025,WEBSITE VISIT, No
INT-0004636,114,CMP-0008,11-01-2025,Demo Request , No
INT-0004637,85,CMP-0021,22 Oct 2025,Trial Signup, No
INT-0004638,573,CMP-0021,18/06/2025, Impression, No
INT-0004639,744,CMP-0016,15 Dec 2025,Click , No
INT-0004640,199,CMP-0014,26-01-2025,Email Open,No 
INT-0004641,1302,CMP-0001,"Apr 13, 2025",Demo Request ,no
INT-0004642,1387,CMP-0002,2025-10-22, Impression,No
INT-0004643,1219,CMP-0008,10 Feb 2025,Impression , No 
INT-0004644,1,CMP-0010,19 Sep 2025, Click , Yes 
INT-0004645,151,CMP-0004,05/12/2025, Trial Signup, No
INT-0004646,713,CMP-0005,2025-10-21, Demo Request ,NO
INT-0004647,1045,CMP-0029,16/03/2025, Demo Request , No 
INT-0004648,702,CMP-0022,11/01/2025,DEMO REQUEST,No
INT-0004649,539,CMP-0012,2025-03-15,email open,No
INT-0004650,27,CMP-0013,14 Sep 2025,click, No 
INT-0004651,742,CMP-0020,"Apr 21, 2025",click, No
INT-0004652,1426,CMP-0003,05/20/2025,Demo Request,YES
INT-0004653,1025,CMP-0019,12/22/2025,Website Visit, Yes 
INT-0004654,1228,CMP-0008,16-02-2025,trial signup, No 
INT-0004655,1006,CMP-0025,"Mar 21, 2025", Trial Signup , No
INT-0004656,1296,CMP-0025,"Jul 18, 2025",Demo Request ,NO
INT-0004657,1365,CMP-0008,19/09/2025, Trial Signup,No
INT-0004658,1086,CMP-0004,2025-07-12,Click, No 
INT-0004659,910,CMP-0010,06-05-2025,impression,Yes 
INT-0004660,1128,CMP-0004,2025-10-02, Email Open, No 
INT-0004661,1153,CMP-0024,02/07/2025,Email Open,NO
INT-0004662,1493,CMP-0006,"Mar 08, 2025",website visit,No
INT-0004663,51,CMP-0016,06-07-2025,Email Open ,Yes 
INT-0004664,1129,CMP-0017,29-04-2025,demo request,No
INT-0004665,854,CMP-0016,22-07-2025,EMAIL OPEN, No 
INT-0004666,946,CMP-0003,"Jun 17, 2025", Click, Yes
INT-0004667,303,CMP-0030,2025-07-28, Email Open,No
INT-0004668,1322,CMP-0021,25 Jun 2025,Impression , No 
INT-0004669,592,CMP-0017,22-01-2025,IMPRESSION,Yes
INT-0004670,680,CMP-0016,23/09/2025,Demo Request ,No 
INT-0004671,1368,CMP-0024,"Apr 15, 2025",Trial Signup,No 
INT-0004672,481,CMP-0012,25-08-2025,Email Open,no
INT-0004673,252,CMP-0022,"Sep 09, 2025", Demo Request,Yes 
INT-0004674,604,CMP-0007,08/08/2025,demo request,No
INT-0004675,230,CMP-0028,04 Apr 2025, Demo Request ,Yes 
INT-0004676,235,CMP-0003,2025-02-10,Trial Signup , No 
INT-0004677,1307,CMP-0023,18-09-2025,website visit,Yes 
INT-0004678,1347,CMP-0015,2025-10-28,Email Open,no
INT-0004679,79,CMP-0019,2025-12-24, Click , No
INT-0004680,1316,CMP-0010,12-04-2025, Click ,no
INT-0004681,325,CMP-0003,08/05/2025,Impression,NO
INT-0004682,79,CMP-0024,27-09-2025,email open, No
INT-0004683,137,CMP-0018,06-07-2025,Trial Signup , No 
INT-0004684,698,CMP-0012,02-02-2025, Click ,No
INT-0004685,1088,CMP-0018,2025-02-21,Trial Signup , No
INT-0004686,423,CMP-0003,06 Nov 2025,Email Open,No 
INT-0004687,368,CMP-0001,2025-01-03,IMPRESSION, No 
INT-0004688,1452,CMP-0016,19 Oct 2025,Website Visit ,no
INT-0004689,1014,CMP-0025,12/09/2025,website visit,No
INT-0004690,835,CMP-0017,17/03/2025, Website Visit , No
INT-0004691,97,CMP-0024,03/01/2025,DEMO REQUEST, No 
INT-0004692,1204,CMP-0015,03 Jul 2025,WEBSITE VISIT, Yes
INT-0004693,1253,CMP-0026,12/17/2025,Demo Request ,no
INT-0004694,1041,CMP-0013,2025-09-04,Impression, No 
INT-0004695,203,CMP-0018,10-03-2025,Website Visit,Yes
INT-0004696,136,CMP-0025,"Jul 28, 2025", Impression, No 
INT-0004697,253,CMP-0004,26-12-2025,impression,NO
INT-0004698,298,CMP-0006,07/21/2025,Email Open , No
INT-0004699,1027,CMP-0013,2025-11-20,website visit,Yes
INT-0004700,463,CMP-0011,28 Aug 2025,click, Yes
INT-0004701,113,,"Aug 03, 2025",Click , No
INT-0004702,241,CMP-0009,04-04-2025,Trial Signup ,no
INT-0004703,1320,CMP-0009,27 Aug 2025,Demo Request ,No 
INT-0004704,905,CMP-0010,14-12-2025,Website Visit ,NO
INT-0004705,1239,CMP-0015,08-02-2025,website visit,No 
INT-0004706,633,CMP-0012,2025-09-02, Impression ,yes
INT-0004707,1500,CMP-0004,"Jul 08, 2025", Demo Request , Yes 
INT-0004708,1007,CMP-0013,"Feb 20, 2025",email open, Yes
INT-0004709,88,CMP-0006,16/06/2025, Click ,no
INT-0004710,1427,CMP-0001,08/14/2025,Demo Request , No 
INT-0004711,716,CMP-0028,13-03-2025,Impression,YES
INT-0004712,835,CMP-0030,03 Oct 2025, Impression, No 
INT-0004713,884,CMP-0010,02 Feb 2025, Demo Request ,No 
INT-0004714,1297,CMP-0014,06-03-2025,impression, No
INT-0004715,487,CMP-0010,10-07-2025,Impression,Yes 
INT-0004716,1225,CMP-0019,06/03/2025, Impression ,no
INT-0004717,1345,CMP-0005,"Aug 23, 2025",CLICK, Yes 
INT-0004718,710,CMP-0004,07/22/2025,email open,NO
INT-0004719,204,CMP-0017,06-05-2025,Email Open , Yes 
INT-0004720,1377,CMP-0003,02/15/2025,IMPRESSION,No 
INT-0004721,576,CMP-0018,2025-02-22, Email Open ,NO
INT-0004722,1163,CMP-0030,18/10/2025,demo request,no
INT-0004723,626,CMP-0004,"Mar 30, 2025",CLICK,No 
INT-0004724,1006,CMP-0025,10 Dec 2025, Demo Request , Yes
INT-0004725,1117,CMP-0005,"Feb 09, 2025", Trial Signup, Yes 
INT-0004726,1163,CMP-0017,"Sep 10, 2025",demo request,No
INT-0004727,727,CMP-0029,2025-02-27, Trial Signup ,no
INT-0004728,551,CMP-0020,2025-05-15,Click ,No 
INT-0004729,215,CMP-0027,04/03/2025,Website Visit ,No
INT-0004730,247,CMP-0022,26-10-2025,Email Open ,no
INT-0004731,889,CMP-0012,2025-09-25, Impression , Yes 
INT-0004732,118,CMP-0006,2025-11-16, Demo Request , No 
INT-0004733,232,CMP-0016,04/10/2025, Impression,Yes 
INT-0004734,133,CMP-0028,"Aug 18, 2025", Trial Signup,No 
INT-0004735,470,CMP-0025,08/09/2025,WEBSITE VISIT,No
INT-0004736,791,CMP-0007,2025-04-14,trial signup,no
INT-0004737,719,CMP-0019,"Jan 27, 2025", Click, Yes
INT-0004738,1254,CMP-0024,25-03-2025,DEMO REQUEST,no
INT-0004739,562,CMP-0005,01/28/2025, Click,No 
INT-0004740,363,CMP-0022,12-08-2025, Demo Request ,No
INT-0004741,255,CMP-0023,07/08/2025,EMAIL OPEN,No 
INT-0004742,1056,CMP-0003,12/14/2025,click,yes
INT-0004743,1291,CMP-0030,07-03-2025,Email Open,No 
INT-0004744,763,CMP-0014,09/24/2025, Demo Request, No 
INT-0004745,18,CMP-0012,"Nov 08, 2025", Website Visit,No
INT-0004746,1043,CMP-0005,"Nov 24, 2025",Trial Signup, No
INT-0004747,113,,06/09/2025, Website Visit ,no
INT-0004748,189,CMP-0014,20/03/2025,Website Visit , Yes
INT-0004749,962,CMP-0023,10/08/2025,click,No 
INT-0004750,1342,CMP-0027,08/24/2025, Website Visit , No 
INT-0004751,499,CMP-0028,2025-03-16, Impression , No
INT-0004752,49,CMP-0008,07 Sep 2025,Email Open,No
INT-0004753,15,CMP-0002,29 Mar 2025, Click,no
INT-0004754,99,CMP-0017,2025-02-27,Click,no
INT-0004755,520,CMP-0002,"Jan 27, 2025", Demo Request, No 
INT-0004756,471,CMP-0018,2025-04-25,Website Visit , No 
INT-0004757,1279,CMP-0001,28-06-2025, Website Visit,yes
INT-0004758,81,CMP-0028,05-05-2025, Impression ,No 
INT-0004759,756,CMP-0011,"May 21, 2025",EMAIL OPEN, Yes
INT-0004760,1021,CMP-0024,26-04-2025, Trial Signup,No
INT-0004761,1452,CMP-0028,2025-01-13, Impression,No
INT-0004762,542,CMP-0020,08-01-2025,Email Open , No
INT-0004763,1192,CMP-0019,14 Mar 2025,Trial Signup, No 
INT-0004764,1113,CMP-0023,2025-02-15,Email Open,No
INT-0004765,323,CMP-0003,31-10-2025, Click , No 
INT-0004766,834,CMP-0004,2025-03-25,TRIAL SIGNUP, No
INT-0004767,1186,CMP-0020,06-11-2025,TRIAL SIGNUP,No
INT-0004768,553,CMP-0015,08-03-2025, Email Open ,Yes 
INT-0004769,354,CMP-0022,12/07/2025,Email Open ,NO
INT-0004770,157,CMP-0009,24/03/2025,Email Open,No
INT-0004771,16,CMP-0017,2025-09-13,Impression,no
INT-0004772,147,CMP-0017,"Jul 29, 2025",Demo Request ,Yes 
INT-0004773,128,CMP-0013,10-12-2025,website visit, No
INT-0004774,1401,CMP-0023,01/04/2025,Website Visit ,no
INT-0004775,68,CMP-0015,04-05-2025, Click ,No 
INT-0004776,1486,CMP-0001,2025-09-14,Demo Request,Yes
INT-0004777,275,CMP-0022,20-07-2025,Click,No 
INT-0004778,171,CMP-0004,06 Jul 2025,Trial Signup,NO
INT-0004779,449,CMP-0024,27-04-2025,CLICK,no
INT-0004780,1465,CMP-0013,2025-11-01, Trial Signup ,No 
INT-0004781,1483,CMP-0016,18-10-2025, Trial Signup ,Yes
INT-0004782,1451,CMP-0002,01 Sep 2025, Impression,No 
INT-0004783,1182,CMP-0018,07/29/2025, Email Open,NO
INT-0004784,756,CMP-0001,"May 09, 2025",CLICK,Yes
INT-0004785,1270,CMP-0023,01-03-2025,click,No
INT-0004786,1308,CMP-0029,2025-07-03,Demo Request,No
INT-0004787,1150,CMP-0017,11/15/2025,CLICK,No 
INT-0004788,1234,CMP-0010,04 Jun 2025,Click ,No
INT-0004789,1064,CMP-0026,"Oct 12, 2025", Demo Request ,No
INT-0004790,1167,CMP-0012,2025-11-14, Demo Request ,YES
INT-0004791,464,CMP-0015,13 Apr 2025, Trial Signup, No
INT-0004792,424,CMP-0003,"Mar 27, 2025",Website Visit, No
INT-0004793,11,CMP-0028,22 Jan 2025, Click , Yes 
INT-0004794,1337,CMP-0025,11/24/2025,Impression,no
INT-0004795,1210,CMP-0004,24/05/2025,IMPRESSION, No
INT-0004796,965,CMP-0012,2025-09-25, Impression ,no
INT-0004797,1005,CMP-0005,11/06/2025, Click,NO
INT-0004798,569,CMP-0016,20/11/2025,Email Open,NO
INT-0004799,187,CMP-0015,"Apr 14, 2025", Email Open, No 
INT-0004800,301,CMP-0029,"Jan 26, 2025",Email Open ,NO
INT-0004801,1343,CMP-0015,2025-04-26, Click,No
INT-0004802,306,CMP-0015,17-01-2025,website visit,no
INT-0004803,1352,CMP-0016,05 Sep 2025, Email Open , No
INT-0004804,1034,CMP-0021,2025-12-15,DEMO REQUEST,No
INT-0004805,214,CMP-0026,24/09/2025,trial signup,no
INT-0004806,799,CMP-0022,2025-06-19, Email Open , Yes 
INT-0004807,722,CMP-0023,06/10/2025,Website Visit ,no
INT-0004808,344,CMP-0004,07/21/2025, Trial Signup,NO
INT-0004809,1199,CMP-0006,05 Jul 2025,Impression ,No
INT-0004810,830,CMP-0023,06/02/2025, Trial Signup ,No
INT-0004811,884,CMP-0014,23 Nov 2025,trial signup, Yes
INT-0004812,276,CMP-0021,"Feb 14, 2025", Email Open,Yes 
INT-0004813,1266,CMP-0013,09 Jun 2025,email open,No 
INT-0004814,781,CMP-0023,03/24/2025,Impression,no
INT-0004815,1005,CMP-0008,19 Mar 2025, Demo Request ,No 
INT-0004816,888,CMP-0018,27/11/2025,email open, No 
INT-0004817,1338,CMP-0008,22-09-2025,Impression , No 
INT-0004818,811,CMP-0029,29/10/2025,Email Open , No
INT-0004819,1479,CMP-0018,12/23/2025,Email Open, No 
INT-0004820,1489,CMP-0011,"Apr 05, 2025", Website Visit,No
INT-0004821,1102,CMP-0013,25/03/2025, Demo Request, No
INT-0004822,310,CMP-0025,07/27/2025, Demo Request , No 
INT-0004823,1135,CMP-0027,20 Nov 2025, Website Visit , Yes 
INT-0004824,1200,CMP-0003,"Sep 15, 2025",website visit, No
INT-0004825,530,CMP-0006,17/01/2025,Trial Signup , No 
INT-0004826,1475,CMP-0023,2025-05-15,Demo Request,No
INT-0004827,1354,CMP-0008,20-02-2025,IMPRESSION, No 
INT-0004828,170,CMP-0007,11/25/2025,IMPRESSION,NO
INT-0004829,309,CMP-0020,11/02/2025,Impression, No
INT-0004830,1468,CMP-0004,08/10/2025,Website Visit,no
INT-0004831,323,CMP-0005,11/24/2025, Click,Yes 
INT-0004832,1492,CMP-0025,12/29/2025,TRIAL SIGNUP,No
INT-0004833,1241,CMP-0002,04/02/2025,DEMO REQUEST, Yes 
INT-0004834,2,CMP-0026,2025-06-09,Website Visit ,No 
INT-0004835,721,CMP-0021,"Jul 07, 2025",click,YES
INT-0004836,1396,CMP-0008,2025-01-13, Demo Request ,NO
INT-0004837,857,CMP-0011,"May 09, 2025",Demo Request ,YES
INT-0004838,999,CMP-0005,14-03-2025,Trial Signup ,No
INT-0004839,1333,CMP-0030,2025-10-26, Demo Request ,NO
INT-0004840,311,CMP-0028,"Jan 19, 2025", Impression , No
INT-0004841,85,CMP-0009,"Mar 09, 2025",Click ,No
INT-0004842,176,CMP-0018,07 Nov 2025, Click,No 
INT-0004843,1235,CMP-0006,18-03-2025,Demo Request, No
INT-0004844,120,CMP-0026,"Nov 28, 2025", Website Visit ,NO
INT-0004845,1394,CMP-0018,22/07/2025, Website Visit, No 
INT-0004846,1412,CMP-0004,07-08-2025,trial signup,Yes
INT-0004847,299,CMP-0018,05-08-2025,Email Open,No 
INT-0004848,8,CMP-0007,04-05-2025, Click , No 
INT-0004849,642,CMP-0009,05 Nov 2025,click, No
INT-0004850,709,CMP-0003,06/04/2025,CLICK,no
INT-0004851,974,,10/08/2025,CLICK, No 
INT-0004852,1255,CMP-0018,2025-12-23,DEMO REQUEST, No
INT-0004853,1145,CMP-0022,27/04/2025,DEMO REQUEST,no
INT-0004854,1077,CMP-0018,2025-01-17, Demo Request ,yes
INT-0004855,1323,CMP-0028,07/25/2025,Trial Signup , Yes
INT-0004856,1191,CMP-0028,13/11/2025,Website Visit ,NO
INT-0004857,957,CMP-0012,08/12/2025,Demo Request, No
INT-0004858,248,CMP-0003,26-04-2025,EMAIL OPEN, No
INT-0004859,271,CMP-0002,"Mar 24, 2025", Demo Request,NO
INT-0004860,1401,CMP-0015,30-06-2025,DEMO REQUEST,NO
INT-0004861,49,CMP-0030,23-11-2025, Demo Request,no
INT-0004862,891,,17 Aug 2025,Website Visit,yes
INT-0004863,557,CMP-0003,"Feb 06, 2025",Trial Signup ,no
INT-0004864,1462,CMP-0011,2025-01-21,Impression ,No 
INT-0004865,980,CMP-0022,24/05/2025, Click , No
INT-0004866,381,CMP-0020,03-08-2025,Email Open,NO
INT-0004867,849,CMP-0013,23 Apr 2025,Click,No
INT-0004868,467,CMP-0021,2025-11-07,Impression,no
INT-0004869,1448,CMP-0021,2025-07-09, Website Visit, No 
INT-0004870,829,CMP-0012,02/09/2025, Demo Request, No 
INT-0004871,1061,CMP-0002,"Dec 16, 2025", Email Open, No 
INT-0004872,1487,CMP-0012,"Aug 13, 2025", Email Open,no
INT-0004873,1180,CMP-0027,"May 02, 2025",Trial Signup ,no
INT-0004874,78,CMP-0007,"Jul 13, 2025",WEBSITE VISIT,NO
INT-0004875,1112,CMP-0014,23-11-2025,click,No 
INT-0004876,448,CMP-0004,09-09-2025, Website Visit , No 
INT-0004877,1048,CMP-0025,01/08/2025,Email Open , No
INT-0004878,496,CMP-0009,16 Sep 2025,Click,Yes
INT-0004879,234,CMP-0008,21/02/2025, Click,No 
INT-0004880,56,CMP-0003,30/07/2025,Trial Signup,No 
INT-0004881,1252,CMP-0028,"Aug 30, 2025",Demo Request , No 
INT-0004882,784,CMP-0019,30/05/2025,demo request,No
INT-0004883,111,CMP-0012,17 Feb 2025,CLICK, No 
INT-0004884,1217,CMP-0011,27 Oct 2025, Click ,No
INT-0004885,1496,CMP-0001,"Mar 19, 2025",Email Open,NO
INT-0004886,504,CMP-0008,05/17/2025,Click ,Yes
INT-0004887,1441,CMP-0006,22-08-2025,Trial Signup,No 
INT-0004888,1248,CMP-0019,25 Jul 2025, Website Visit, Yes 
INT-0004889,1021,CMP-0013,25 Jan 2025,email open, No
INT-0004890,1489,CMP-0027,01/28/2025, Click,No
INT-0004891,939,CMP-0028,2025-01-18, Impression ,no
INT-0004892,325,CMP-0018,20/08/2025,TRIAL SIGNUP,NO
INT-0004893,1095,CMP-0029,2025-12-30,Click ,NO
INT-0004894,213,CMP-0008,"Jun 04, 2025", Website Visit ,YES
INT-0004895,709,CMP-0019,2025-03-24,WEBSITE VISIT, No 
INT-0004896,986,CMP-0011,03/11/2025, Email Open,NO
INT-0004897,1080,CMP-0014,2025-07-25,impression, No
INT-0004898,920,CMP-0004,11/08/2025,impression,No
INT-0004899,1328,CMP-0013,2025-05-15, Impression,yes
INT-0004900,574,CMP-0008,"Mar 02, 2025", Trial Signup, No
INT-0004901,808,CMP-0013,2025-11-16,Website Visit ,no
INT-0004902,1467,CMP-0027,06/08/2025, Email Open ,No
INT-0004903,1370,CMP-0013,2025-01-03,Impression, No 
INT-0004904,576,CMP-0004,2025-09-24,Click ,No
INT-0004905,436,CMP-0029,25-07-2025, Demo Request,yes
INT-0004906,1200,CMP-0025,"Jun 04, 2025",website visit, No
INT-0004907,496,CMP-0004,08/04/2025, Demo Request , No 
INT-0004908,1264,CMP-0030,18-05-2025,Click , No
INT-0004909,1185,CMP-0016,"May 22, 2025",Impression ,no
INT-0004910,1280,CMP-0022,2025-04-17, Website Visit , No
INT-0004911,666,CMP-0016,2025-05-19,Trial Signup ,NO
INT-0004912,596,CMP-0004,2025-10-01,email open,No 
INT-0004913,180,CMP-0015,"Jan 21, 2025",Website Visit,No 
INT-0004914,746,CMP-0018,12/10/2025,WEBSITE VISIT, No 
INT-0004915,1474,CMP-0026,"Dec 04, 2025",Website Visit , No
INT-0004916,1021,CMP-0007,17-06-2025, Trial Signup,No
INT-0004917,1081,CMP-0021,06/09/2025,EMAIL OPEN,Yes
